N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,
185,KODEX 단기채권PLUS,"103,165",0,0.00%,0,"14,298","13,859",0.00,"1,625,889",N/A,N/A,
186,에스엘,"29,500","1,350",-4.38%,500,"14,220","48,203",17.24,"321,785",12.88,4.74,
187,KODEX 레버리지,"26,375",840,-3.09%,0,"14,190","53,800",1.25,"27,140,289",N/A,N/A,
188,롯데리츠,"5,840",50,-0.85%,500,"14,189","242,969",10.28,"573,899",33.95,1.83,
189,SK네트웍스,"5,670",130,-2.24%,"2,500","14,072","248,188",13.07,"868,281",13.60,1.63,
190,LG생활건강우,"669,000","4,000",+0.60%,"5,000","14,047","2,100",84.60,"3,999",14.42,N/A,
191,KODEX 종합채권(AA-이상)액티브,"109,755",35,-0.03%,0,"14,003","12,758",0.00,"1,381",N/A,N/A,
192,아시아나항공,"18,600",0,0.00%,"5,000","13,841","74,412",19.94,"833,479",-20.62,-43.83,
193,NHN,"70,700","1,000",-1.39%,500,"13,832","19,565",13.10,"127,820",51.61,1.35,
194,넥스트사이언스,"32,150",200,+0.63%,500,"13,367","41,576",4.65,"2,225,025",-35.33,-41.41,
195,솔루엠,"26,800","3,000",-10.07%,500,"13,348","49,806",7.98,"1,061,016",26.22,43.26,
196,롯데관광개발,"18,900",400,-2.07%,500,"13,093","69,276",6.20,"453,225",-10.57,-30.43,
197,후성,"13,800",400,-2.82%,500,"12,780","92,607",6.69,"2,783,386",363.16,2.79,
198,두산인프라코어,"16,300",300,-1.81%,"5,000","12,764","78,309",10.84,"1,112,300",15.51,6.47,
199,영풍,"692,000","3,000",-0.43%,"5,000","12,747","1,842",4.32,"1,709",9.31,4.03,
200,TIGER 단기통안채,"100,260",5,0.00%,0,"12,730","12,697",0.93,"3,192",N/A,N/A,
